Date,Median,Lower_5,Upper_95,Path
2026-01-01,135771.0,135771.0,135771.0,135771.0
2026-01-02,136526.63133451098,134786.2530822344,137911.38588600713,135313.24607673596
2026-01-05,136423.38922482845,133884.68047057613,138960.91088278912,135541.91795905592
2026-01-06,137083.92388051288,133752.02989333926,139856.1650770709,135223.77703841854
2026-01-07,137388.67146426614,133254.92525046295,140890.57408692114,135592.19547755562
2026-01-08,137639.6903959121,131664.6574111672,141694.67592215742,137522.8932884159
2026-01-09,138118.9488720587,131782.89499622208,141684.18276979093,137648.112089822
2026-01-12,138625.86866344663,131886.32164407108,142900.64977750485,138459.21112023297
2026-01-13,138774.0769328269,130981.64166926667,143533.37836442614,137339.53311954392
2026-01-14,139230.21847071656,131059.85923244445,144257.50621986826,137747.45876663312
2026-01-15,139402.698772954,131882.00323765416,145303.75952985912,139380.39334470595
2026-01-16,139717.18329231208,132264.19464904274,145951.12279021283,137927.15272249028
2026-01-19,139797.38694199693,132410.88041338156,146886.80569162327,139476.87030888314
2026-01-20,140325.08718817696,132788.07239386588,147212.11042237421,139603.32932533938
2026-01-21,140452.20928897354,133075.75232100292,148014.721200862,139619.98023202937
2026-01-22,140640.89027358242,133295.06596276557,148270.74632267142,140178.53449197064
2026-01-23,140772.18395120805,132470.35379655144,149126.16553910048,141027.8132170641
2026-01-26,141041.0394443455,132379.67132410122,149276.74356533695,142355.7876556021
2026-01-27,141142.50736569613,132012.43219093536,150557.65449528708,140810.1150259062
2026-01-28,141310.2782480056,132675.37462451064,150944.82538784965,141160.0763759784
2026-01-29,142218.313027777,132979.10800948038,151123.85336159376,142201.1456858961
2026-01-30,142732.91022983473,132495.76887972062,151774.71530507086,143223.5676492404
2026-02-02,142672.18585782056,132747.05186650128,152948.0061805184,143393.4819703008
2026-02-03,142576.94918314967,132487.0239585171,152956.13763179374,143606.38923517108
2026-02-04,143360.2687621096,132579.55265963566,154275.84376791833,144367.41747785767
2026-02-05,144131.18755068694,132118.3604427447,154279.4047556369,144142.59589222987
2026-02-06,144103.24177433894,132487.3268429641,154878.89193208498,143920.32247706657
2026-02-09,144540.92458151715,133260.82183425804,154787.19300613695,146235.46234209862
2026-02-10,144626.73724403963,133208.88792063066,155160.01245109577,147905.08872814814
2026-02-11,144578.65426217997,134441.81345727752,155955.86255000735,148823.20253934147
2026-02-12,145274.74331252353,133772.20717137645,156538.1666713868,149207.11653988773
2026-02-13,145659.10117189607,134276.44243957638,157564.86761018258,150082.7469009451
2026-02-16,146483.78923226678,133461.4598666426,158990.37435224443,150474.60904332687
2026-02-17,147471.89188564487,134027.1235412131,159423.05991185876,151262.22334203662
2026-02-18,146994.97824547504,133278.8567778174,159340.83391856967,151935.23078690993
2026-02-19,147530.36019025056,133765.4981252724,159914.18570872594,153083.47232383935
2026-02-20,148228.14277872938,133692.83356568863,159943.23870665644,152590.30716347232
2026-02-23,148619.55150868546,133888.03728721145,161018.63117985896,152119.48162953896
2026-02-24,148694.7388099898,133801.49231780265,162528.26069974425,154950.8525705606
2026-02-25,149928.34534087355,133950.27664057366,163010.88708813276,155328.72615653597
2026-02-26,149648.62835293438,134130.30253127127,163254.7359509622,154460.761206442
2026-02-27,149825.41803131462,133530.297535795,163461.2275627713,155500.50857419844
2026-03-02,150196.81412019543,134079.13866212877,163020.4528774617,155526.5820093506
2026-03-03,150323.7084115133,133875.20636043928,163925.51481424534,152077.6912282608
2026-03-04,151007.76879338516,134868.9733562218,164712.63066643072,152782.20379200677
2026-03-05,150852.83100690355,134977.07092539663,165216.81179599706,153403.35387817453
2026-03-06,151294.1982068153,134393.55824865418,166092.52780863672,153182.68671888192
2026-03-09,151762.51332866977,135034.99692257988,166786.0168275166,155032.31116461134
2026-03-10,151563.1192985839,135239.16656951944,166290.472433552,155532.73245437717
2026-03-11,152454.4806853705,135495.90698733562,166863.86388170833,159967.55249163974
2026-03-12,153034.104932945,136413.59568460792,166770.31823628006,161126.63319625726
2026-03-13,153656.89489667772,136182.29376831756,167571.34219416164,160896.1000842189
2026-03-16,154282.84364727308,136683.98101309018,168703.9583780844,160860.20153441263
2026-03-17,154748.98005024146,136739.60980192578,168161.0592716915,160694.8106748118
2026-03-18,154890.0475778484,137611.05656602944,168589.49798038742,160873.46866176376
2026-03-19,154720.48291649946,137666.84132734785,169022.28035270367,158617.89890330032
2026-03-20,154200.64625536115,137958.60821530517,169470.8524559093,158861.59597335308
2026-03-23,154199.44550357806,138350.4312805272,169828.6853448916,155301.3954946766
2026-03-24,154681.8898306341,137324.27917258933,170961.7242514153,155430.27007482218
2026-03-25,155296.37642019318,137756.99526930013,171426.8960667875,155828.9596335067
2026-03-26,155608.27923194348,138633.31044624472,172053.52390103298,157668.9651156837
